email_body,subject_line,translation
"I will be working in the Calgary office Wednesday and Thursday, February 7  and 8.
My assistant, Patti Thompson (x39106) has numbers where I can be  reached.
I will be back in the Houston office on Friday, February 9.
Key contacts in Houston over the next two days are:  DPR   Chris Abel    x33102  MPR   David Maxwell   x36983  Gas Operations Bob Hall    x36956    Jeff Gossett    x37306  Power  Leslie Reeves   x37962 Operations  Stacey White    x31870
",In Calgary Office - February 7 and 8,"안녕하세요 [수신자],

저는 [월] [일]과 [일] 수요일과 목요일에 [지역명] 사무실에서 일할 예정입니다. 제 비서인 이름이 저에게 연락할 수 있는 번호를 알려드릴 것입니다.

저는 [월] [일] 금요일에 [지역명] 사무실로 돌아갈 예정입니다.

감사합니다.
[발신자]
"
"Congratulations on your promotion to Manager.
Brent Price, Bob Hall, Leslie  Reeves, Brenda Herod and I would like to invite you to a luncheon in  recognition of your promotion on Tuesday, February 6.
We appreciate your  contributions to the continuing success of Enron's wholesale services  business.
We would like the opportunity to help you celebrate your  promotion.
Please RSVP to Patti Thompson (x39106).
Details on time and location will  follow.
",Promotions Luncheon for Managers,"안녕하세요 [수신자],

매니저로 승진하신 것을 축하드립니다. [이름], [이름1], [이름2], [이름3], 그리고 저는 [월] [일] 화요일에 귀하의 승진을 기념하는 오찬에 초대하고자 합니다.

[기업명]의 도매 서비스 사업의 지속적인 성공에 기여해 주셔서 감사합니다. 귀하의 승진을 축하하는 데 도움을 드리고 싶습니다.

[이름4[([전화번호])에게 회신을 보내주십시오. 시간과 장소에 대한 자세한 내용은 추후에 알려드리겠습니다.

감사합니다.
[발신자]"
"I will be in the Calgary office with Peggy Hedstrom and her team next week on  Wednesday and Thursday, February 7 and 8.
Do either one of you have a specific issue that needs to be addressed that I  could handle while I am in Calgary?
My agenda with Peggy and her team is  pretty full, but I can add to that anything that you know of that we need to  address.
Just let me know.
That puts me in Calgary for the staff meeting on Wednesday.
I will sit in  with Rob Milnthorp on the video conference for the first hour of the  meeting.
I already had a meeting scheduled with all of Peggy's team during  the second hour of your staff meeting.
Due to location constraints, we will  have to keep that meeting as scheduled.
So I will have to step out of the  staff meeting for the second hour.
",In Calgary Office - February 7 and 8,"안녕하세요 [수신자],

저는 다음 주 [요일1]과 [요일2]인 [월] [일]과 [일]에 [이름]과 그녀의 팀과 함께 [지역명] 사무실에 있을 예정입니다. 제가 [지역명]에 있는 동안 제가 처리할 수 있는 특정 문제가 있으신가요?

[이름]와 그녀의 팀과의 제 일정은 꽤 꽉 차 있지만, 여러분이 알고 있는 해결해야 할 사항이 있으면 추가할 수 있습니다. 저에게 알려주시면 됩니다.

그러면 저는 [요일1]에 [지역명]에서 직원 회의에 참석하게 됩니다. 저는 회의 첫 시간 동안 [이름1]과 화상 회의에 참석할 것입니다. 저는 이미 직원 회의 두 번째 시간 동안 [이름]의 팀 전체와 회의를 예약해 두었습니다. 장소 제약으로 인해 그 회의는 예정대로 진행해야 합니다. 그래서 저는 두 번째 시간 동안 직원 회의에서 빠져나와야 합니다.

감사합니다.
[발신자]"
"Julie called me immediately after getting my e:mail message about you.
Her  role has changed once again at  Enron!
She is running more of a  fundamentals group at present.
Wanted to know if you would be interested in  that.
Told her that I couldn't speak for you.
I'd suggest that you contact  her and talk with her even if at first blush that may not be your first  interest.
Can't hurt to hear about what she is doing and spend some time  with her.
You may not then be interested in her rotation, but you'll know  more and she will know you.
FYI - she is a University of Nebraska graduate.
--Sally
",Conversation with Julie Gomez,"안녕하세요 [수신자],

[이름]는 당신에 대한 제 이메일 메시지를 받은 직후에 저에게 전화를 했습니다. 그녀의 역할은 [기업명]에서 다시 한 번 바뀌었습니다! 그녀는 현재 기본 그룹을 더 많이 운영하고 있습니다.

그녀에게 제가 당신을 대신해서 말할 수 없다고 말했습니다. 그녀에게 연락해서 이야기해 보는 것이 좋습니다. 그러면 당신은 그녀의 로테이션에 관심이 없을 수도 있지만, 당신은 더 많이 알게 될 것이고 그녀는 당신을 알게 될 것입니다.

참고로, 그녀는 [학교명] 졸업생입니다.

감사합니다.
[발신자]"
"I asked Mike this week if your baby was here, and he said that you had just  returned to the office.
Congratulations on the birth of your little girl.
I  hope that all three of you are surviving those first few weeks of adjustment  and that sleep is not too short a commodity in your house!
I will look  forward to seeing pictures of Lauren when I am next in London.
You do know  that now that you are a dad that it is a requirement to be armed with  adorable pictures at all times?
!
",Congratulations,"안녕하세요 [수신자],

이번 주에 [이름]에게 여기 있는지 물었는데, 방금 사무실로 돌아왔다고 하더군요. 세 분 모두 적응하는 첫 몇 주를 잘 견뎌내시고 충분한 휴식도 가지시길 바랍니다!


감사합니다.
[발신자]
"
"Just a quick note to see how you are doing.
I mentioned your name today to  Kristin Albrecht.
She is a Senior Director over Risk Management for Enron  Broadband Services (EBS).
Kristin and I used to work together in Enron  Americas, and we had lunch today to catch up.
She grew up in Wharton and is  an A&M graduate, so it occurred to me that you two have at least two things  in common.
I wanted you to know that I have given Kristin your name.
She  can be another contact for you here at Enron.
If you are interested in what  is going on at EBS or want to get Kristin's impressions on rotations within  or outside EBS, she would be great for you to visit with.
Drop by soon to give me an update on life at Enron for you.
--Sally
",Catch Up,"안녕하세요 [수신자],

당신이 어떻게 지내는지 간단히 알려드리려고 합니다. 오늘 [이름]에게 당신의 이름을 언급했습니다. 그녀는 [부서명]의 위험 관리 부문 상무입니다.

[이름]과 저는 [기업명]에서 같이 일했고, 오늘 점심을 먹으며 소식을 나누었습니다. 그녀는 [지역명]에서 자랐고 [학교명] 졸업생이어서 두 분이 적어도 두 가지 공통점이 있다는 생각이 들었습니다.

[이름]에게 당신의 이름을 알려드렸다는 것을 알려드리고 싶었습니다. 그녀는 [기업명]에서 당신의 또 다른 연락처가 될 수 있습니다. [부서명]에서 무슨 일이 일어나고 있는지 궁금하거나 [부서명] 내부 또는 외부에서 로테이션에 대한 [이름]의 인상을 알고 싶다면 그녀를 만나보면 좋을 것입니다.

곧 들러서 [기업명]에서의 삶에 대한 최신 소식을 전해주세요.

감사합니다.
[발신자]"
"Along with Mike McConnell, I am active in recruiting for Enron's Analyst  Program at the University of Oklahoma.
We became involved in recruiting  there two years ago when I learned about a targeted undergraduate program  that seemed like it could be a good fit for our program.
OU transformed  their old PLM (Petroleum Land Management) program into the Energy Management  Program in the School of Business.
This undergraduate degree retains the  geology, business law and other specialized classes that were part of the PLM  program, but adds additional finance hours with a focus on derivatives and a  trading floor course.
With the added plus of many of these students growing  up in or around ""energy"" families in Oklahoma or Texas, I thought that  recruiting top graduates from this program could be beneficial to Enron.
Our  recruiting efforts at OU continue to be successful and our OU Energy  Management graduates have done well at Enron.
Our first hire from OU (and the top Energy Management student) was Jody  Crook.
He joined the analyst program last February after a December 1999  graduation.
His first rotation has been on my team, working as a risk book  administrator in gas trading.
He is in the process of looking for a second  rotation at the end of February, and I think that he is someone that you  should consider for a rotation on your team.
In addition to this last year's  risk experience at Enron, Jody worked as a landman for two summers for  Burlington Resources.
I was very involved in recruiting Jody to Enron.
I think very highly of him,  and want to be sure that he has good rotations while in the Analyst program.
His background and your business seem to be a good fit.
Please visit with  Jody as he contacts your group about a rotation.
It will be well worth your  time.
Thanks.
",Recommendation for Analyst Rotation - Jody Crook,"안녕하세요 [수신자],

저는 [이름]과 함께 [학교명]의 [직접 입력] 채용에 적극적으로 참여하고 있습니다. 저희는 [기간] 전에 저희 프로그램에 적합할 것 같은 타깃 학부 프로그램에 대해 알게 되어 채용에 참여하게 되었습니다.

[학교명]은 기존 [프로그램명]을 경영대학의 [프로그램명]으로 전환했습니다. 이 학부 학위는 [기존 프로그램]의 일부였던 지질학, 상법 및 기타 전문 과목을 그대로 유지하지만 파생상품과 거래소 과정에 초점을 맞춘 추가 금융 시간을 추가합니다. 이 학생들 중 다수가 [지역명]나 [지역명]의 ""에너지"" 가정에서 자랐다는 추가적인 장점과 함께 이 프로그램의 최고 졸업생을 채용하는 것이 [기업명]에 유익할 수 있다고 생각했습니다.

[학교명]에서의 채용 노력은 계속해서 성공적이며 [학교명] 에너지 관리 졸업생은 [기업명]에서 좋은 성과를 거두었습니다. [학교명]에서 처음 채용한 사람은 [이름1]이었습니다. 그는 [졸업연도]년 [월]월 졸업 후 작년 [월2]월에 분석가 프로그램에 합류했습니다. 그의 첫 번째 로테이션은 제 팀에서 가스 거래에서 위험 관리 관리자로 일했습니다.

그는 [날짜]에 두 번째 로테이션을 찾는 과정에 있으며, 저는 그가 당신 팀의 로테이션에 고려해야 할 사람이라고 생각합니다. 작년 [기업명]에서의 위험 경험 외에도 [이름1]는 [기업명1]에서 두 여름 동안 토지 관리자로 일했습니다. 저는 [이름1]를 [기업명]에 영입하는 데 매우 관여했습니다. 저는 그를 매우 높이 평가하며, 그가 분석가 프로그램에 있는 동안 좋은 로테이션을 하기를 바랍니다.

그의 배경과 귀사의 사업은 잘 맞는 것 같습니다. [이름1]가 로테이션에 대해 귀사 그룹에 연락하면 그를 방문하세요. 시간을 들일 만한 가치가 있을 것입니다.

감사합니다.
[발신자]"
"During the budgeting process for 2001 I gave Dave Delainey an estimated cost  savings for Energy Operations assuming the sale of HPL.
Since this is clearly  on the horizon, we need to take a close look at opportunities for cost  savings and our estimated timing on those savings.
I will ask James by copy  of this memo to set up a meeting late this week to cover this.
I want to be  able to get back with Dave with more detailed estimates of cost savings.
",2001 Anticipated Budget Adjustments for HPL Sale,"안녕하세요 [수신자],

[연도] 예산 책정 과정에서 저는 [기업명] 매각을 가정한 에너지 운영에 대한 예상 비용 절감액을 [이름]에게 전달했습니다. 이것이 분명히 다가오고 있으므로, 우리는 비용 절감 기회와 그 절감액에 대한 예상 시기를 면밀히 살펴봐야 합니다.

이 메모 사본을 [이름1]에게 보내 이번 주 후반에 이 문제를 논의하기 위한 회의를 설정하도록 하겠습니다. 저는 비용 절감에 대한 더 자세한 추정치를 [이름]에게 다시 전달하고 싶습니다.

감사합니다.
[발신자]
"
"The name of the restaurant that I liked for lunch was Christophers.
It is at  Victoria Station, or in the lobby of what was or is a hotel at Victoria  Station.
Quick walk from the office.
Apparently, there is another location  at Covent Gardens.
Dinner last night was fun.
It is always great to see you either in Houston  or London.
Sorry that our goodbye was so abrupt.
I think that the taxi  driver was afraid that we would get him killed!
I called home last night and  told Amanda about our discussion on a day in Paris.
She is ready!!
Let us know when you will next be in Houston.
I should be here quarterly -  probably head back in March or April.
--Sally
",Restaurant Name,"안녕하세요 [수신자],

제가 점심으로 좋아했던 식당 이름은 [장소]였어요. [지역명] 역에 있거나, [지역명] 역에 있는 호텔 로비에 있어요. 사무실에서 걸어서 금방 갈 수 있어요. [장소1]에 또 다른 지점이 있는 것 같아요.

어젯밤 저녁은 즐거웠어요. [지역명]이나 [지역명]에서 여러분을 만나 뵙는 건 항상 기쁩니다. 작별 인사가 너무 갑작스러워서 미안해요. 택시 기사가 우리가 그를 죽일까봐 두려워했던 것 같아요!

어젯밤 집에 전화해서 [이름]에게 [도시명]에서 보낸 하루에 대한 이야기를 했더니 [이름]도 엄청 기대하더라고요. 여기에 다시 오시게 되면 알려주세요.

감사합니다.
[발신자]
"
"Please check the dates for that OpRisk seminar in New York and put those on  my calendar tentatively.
I got a message from Shona trying to schedule a  trip to Mexico and she thought that the week of February 5th looked good.
I  assume that she checked with you and that my calendar looked clear.
While I  have not yet made a decision on attending the NY seminar, I do need to hold  those dates.
I left Shona a message telling her that the week of February 19  would be better.
--Sally
",Calendar,"안녕하세요 [수신자],

[지역명]에서 열리는 [세미나] 세미나 일정을 확인하고 일정에 임시로 적어주세요. [이름]로부터 [지역명] 여행 일정을 잡으라는 메시지를 받았는데, [월] [일]이 좋은 것 같다고 했습니다. 그녀가 당신에게 확인했고 일정이 비어 있는 것 같습니다.

아직 [지역명] 세미나에 참석할지 결정하지는 않았지만, 그 날짜는 꼭 지켜야 합니다. [이름]에게 [월] [일]이 더 좋을 것이라고 메시지를 남겼습니다.

감사합니다.
[발신자]
"
"Technology is wonderful - I can log on here in the London office just as I do  in Houston.
I feel very in touch.
Sounds like you have been busy - I think  that the variety of items for the Sunday meeting sounds good.
Thanks for  taking care of all of this.
London is cold but sunny - so very nice.
I do love coming here - hope to  make the trip once a quarter this year.
I will be back at home by Friday  evening, so let me know if there is anything that I can do before the  meeting.
Otherwise I will see you on Sunday.
Too bad that Nancy doesn't want the input from  the girls on presentation.
I  think that taking likes and dislikes would be good - no commitment to make  changes that the girls' might suggest, but I think that it would be wonderful  to have their input.
They are the honorees.
Oh, well .....as you say, this  is volunteer work and probably not worth getting too worked up over the whole  thing.
--Sally
",Reply - NCL Update,"안녕하세요 [수신자],

기술이 훌륭해요. [지역명]에서처럼 [지역명] 사무실에서도 접속할 수 있어요. 저는 매우 소통이 잘 되는 것 같아요. 바쁘신 모양이네요. 일요일 회의에 대한 다양한 항목이 좋을 것 같아요. 이 모든 것을 처리해 주셔서 감사합니다.

[지역명]은 춥지만 햇살이 잘 들어요. 정말 좋아요. 저는 여기 오는 걸 정말 좋아해요. 올해는 분기에 한 번씩 여행을 가고 싶어요.

저는 [요일] 저녁에 집에 돌아올 테니 회의 전에 할 일이 있으면 알려주세요. 그렇지 않으면 일요일에 뵙겠습니다.

[이름]가 프레젠테이션에 대한 소녀들의 의견을 듣고 싶어하지 않는 건 안타까운 일이에요. 좋아요와 싫어요를 받는 게 좋을 것 같아요. 소녀들이 제안할 수 있는 변경 사항을 만들 의무는 없지만, 그들의 의견을 듣는 건 정말 좋을 것 같아요. 그들은 영예의 대상이에요.

아, 글쎄요.....당신이 말했듯이, 이건 자원봉사 활동이고 아마 이 모든 일에 대해 너무 화를 낼 가치는 없을 거예요.

감사합니다.
[발신자]"
"Any room at the inn?
I am looking for a spot for Beth Apollo.
She will be  working with me, starting on January 29th in Houston.
--Sally
",Beth's location,"안녕하세요 [수신자],

근처 호텔에 방이 있나요? [이름]를 위한 자리를 찾고 있어요. 그녀는 [월] [일]부터 [지역명]에서 저와 함께 일할 거예요.

감사합니다.
[발신자]"
"I have reviewed my section of Causey's presentation ( to be given by Brenda)  and all looks fine except for page with world map.
Can we add Portland to  the map?
That is the true trading location that is missing.
If it is tough  to do, don't worry about it.
Thanks.
--Sally
",Causey Presentation,"안녕하세요 [수신자],

저는 [프로젝트]의 프레젠테이션([이름1]가 발표할 예정)의 제 섹션을 검토했고, 세계 지도가 있는 페이지를 제외하고는 모두 괜찮아 보입니다. [지역명]을 지도에 추가할 수 있나요? 그게 빠진 진짜 거래 위치입니다. 하기 어려우면 걱정하지 마세요.

고맙습니다.
[발신자]
"
"I can access the global compensation system from London.
Today I have been  able to log on and to review as read only the info that I submitted on Friday  for bonus and LTI.
I assume that I will be able to access the screens for  merits as well.
Please get back with me via e:mail and let me know our  instructions and time deadlines for merit increases.
I will want to give my  direct reports access to the system so that they can input their  recommendations.
I will also want to send them an e:mail with instructions  and expectations.
Having asked for more funds for the bonus pool, I would  like for us to be within the guidelines for merit increases.
Outside this  process, we can address any increases that may be warranted given the market  data gathered by Todd Burke.
We can process those agreed upon requests, but  will not include those dollars within our merit totals.
That way, won't have  to request additional dollars for these worksheets.
Better not to ask for  exceptions on everything!!!
What is the word on bonus dollars?
Is everything finalized as I submitted?
Let me know.
If we need to talk directly, contact Patti for a number where  you can reach me.
Thanks.
",Merit Increases,"안녕하세요 [수신자],

[지역명]에서 글로벌 보상 시스템에 접속할 수 있습니다. 오늘은 로그인하여 금요일에 제출한 보너스와 LTI 정보를 읽기 전용으로 검토할 수 있었습니다. 공로 화면에도 접속할 수 있을 것으로 생각합니다.

이메일로 다시 연락하여 공로 인상에 대한 지침과 마감일을 알려주세요. 직속 보고자에게 시스템에 대한 액세스 권한을 부여하여 권장 사항을 입력할 수 있도록 하겠습니다. 또한, 지침과 기대 사항을 담은 이메일을 보내고 싶습니다.

보너스 풀에 대한 추가 자금을 요청했으므로 공로 인상에 대한 지침 내에 있기를 바랍니다. 이 프로세스 외에도 [이름]가 수집한 시장 데이터를 감안할 때 필요할 수 있는 모든 인상을 처리할 수 있습니다.

합의된 요청을 처리할 수 있지만 공로 총액에 해당 달러를 포함하지 않습니다. 그러면 이러한 워크시트에 대한 추가 달러를 요청할 필요가 없습니다. 모든 것에 대한 예외를 요청하지 않는 것이 좋습니다!!!

보너스 달러에 대한 의견은 무엇입니까? 제가 제출한 대로 모든 것이 확정되었나요? 알려주세요.

직접 이야기해야 한다면 [이름1]에게 연락해서 저에게 연락할 수 있는 번호를 받으세요.

감사합니다.
[발신자]"
"Patti:  Please forward this message to Tom Hopwood.
=20  Tom:  The good (or bad) news was that I was here late enough to see the mem= o=20 come out on e:mail Friday night.
Most will see this on Tuesday after the= =20 holiday.
I did get a few calls tonight from a hardy few that were still he= re=20 in the office.
I will call you when I am back from London.
Thanks for all= =20 of your help this week on the two meetings.
--Sally=20
",Managing Director and Vice President Elections,"안녕하세요 [수신자],

이 메시지를 [이름]에게 전달해 주세요. 좋은(또는 나쁜) 소식은 [이름]이 금요일 밤에 이메일로 메모가 나오는 것을 보기 위해 늦게 왔다는 것입니다. 대부분은 휴일 이후인 [요일]에 이것을 보게 될 것입니다.

오늘 밤에도 여전히 사무실에 있는 몇몇 강인한 사람들로부터 전화를 받았습니다. [지역명]에서 돌아오면 전화드리겠습니다.

이번 주 두 회의에서 도와주셔서 감사합니다.

감사합니다.
[발신자]
"
"The promotional memo came out a couple of hours too late for me to be able to  mention it to you on the phone this afternoon.
Congratulations on your  promotion to Managing Director.
--Sally
",Congratulations,"안녕하세요 [수신자],

프로모션 메모가 오늘 오후에 전화로 말씀드릴 수 없을 만큼 몇 시간 늦게 나왔습니다. 상무 이사로 승진하신 것을 축하드립니다.

감사합니다.
[발신자]
"
"Just wanted to drop you a note to let you know that I will be in the London  office during the week of January 15.
I will arrive just after lunch on  Monday and plan to be there through Thursday.
Much of my time will be spent  with Fernley and Mike Jordan.
If you have a few minutes while I am in town, it would be great to get with  you to hear if there is anything that is of particular concern or interest to  you in supporting the continuing growth of your business in 2001.
I will  stop by while I am in the office.
--Sally
",London - Week of January 15,"안녕하세요 [수신자],

1월 [일] 주에 [지역명] 사무실에 있을 것이라는 것을 알려드리고자 메모를 남기고자 합니다. 월요일 점심 직후에 도착하여 목요일까지 거기에 있을 계획입니다. 저는 대부분의 시간을 [이름]와 [이름1]과 함께 보낼 것입니다.

제가 이곳에 있는 동안 몇 분만 시간이 있다면 [연도]년에 귀사의 지속적인 성장을 지원하는 데 특별히 우려되거나 관심 있는 사항이 있는지 알아보고 싶습니다. 사무실에 있는 동안 들러보겠습니다.

감사합니다.
[발신자]
"
"Congratulations on your promotion to Vice President!
Well deserved and a  nice way to cap off your stay in London.
I look forward to celebrating with  you in London next week.
--Sally
",Congratulations!,"안녕하세요 [수신자],

[직책]으로 승진하신 것을 축하드립니다! 정말 마땅한 일이고 [지역명]에서의 체류를 마무리하는 좋은 방법이 될 것입니다. 다음 주에 [지역명]에서 함께 축하할 수 있기를 기대합니다.

감사합니다.
[발신자]"
"Mark Frevert has reviewed the attached addition to the upcoming  organizational memo and has asked that I forward it to you to be included.
This would be included in the section under Commercial Support, added as an  additional bullet point beneath the one that addresses Business Analysis and  Reporting (I believe that these bullet points are on Page 3 of the draft  memo).
Please call me at x35926 if you have any questions.
",Insert for Organizational Memo,"안녕하세요 [수신자],

[이름]가 다가올 조직 메모에 첨부된 추가 내용을 검토했으며, 이를 귀하에게 전달하여 포함시키라고 요청했습니다. 이 내용은 상업 지원 섹션에 포함되며, 사업 분석 및 보고를 다루는 내용 아래에 추가 항목으로 추가됩니다(이 항목은 초안 메모의 3페이지에 있는 것으로 생각합니다).

질문이 있으면 [전화번호]으로 전화해 주십시오.

감사합니다.
[발신자]
"
"Please print attachment and make sure that e:mail addresses are included for  the students.
Call Ted if any problems.
Thanks.
We will need this to send  invitations to students and Ted (plus some Enron folks) to a tour of Enron  Field and dinner on January 31.
Let's talk about arranging details.
thanks.
",Forgot the Attachment,"안녕하세요 [수신자],

첨부 파일을 인쇄하고 학생들의 이메일 주소를 포함했는지 확인하세요. 문제가 있으면 [이름]에게 전화하세요.

감사합니다.
[월] [일] [직접 입력] 투어와 저녁 식사에 학생들과 [이름] (그리고 [기업명] 사람들)에게 초대장을 보내려면 이것이 필요합니다. 세부 사항을 정하는 것에 대해 이야기해 봅시다.

감사합니다.
[발신자]"
"There isn't much to the memo, but this is it!
It came out well after the e= nd=20 of the work day for most folks.
I believe that Patti has sent you my trave= l=20 plans for next week.
Have a great weekend!=20
",Managing Director and Vice President Elections,"안녕하세요 [수신자],

메모에는 별로 내용이 없지만, 이게 전부예요! 대부분의 사람들은 퇴근 후 훨씬 지나서야 메모가 나왔어요. [이름]가 다음 주 여행 계획을 보내준 것 같아요.

좋은 주말 보내세요!
[발신자]"
"In order to ensure our Network resources are available for critical business purposes, IPTV will be unavailable until further notice.
We will be sending out another email when IPTV becomes available.
Thank you for your support and understanding.
",IPTV,"안녕하세요 [수신자],

네트워크 리소스를 중요한 비즈니스 목적으로 사용할 수 있도록 하기 위해 IPTV는 추가 공지가 있을 때까지 사용할 수 없습니다. IPTV가 사용 가능해지면 다른 이메일을 보내드리겠습니다.

지원과 이해에 감사드립니다.
[발신자]
"
"The City of Houston is sponsoring a city-wide blood drive at the George R. Brown Convention Center today.
For your convenience, Enron is providing transportation to and from the Convention Center from 9am-3pm.
Transportation will be leaving from the Enron Building every half hour.
",City Wide Blood Drive Today,"안녕하세요 [수신자],

[지역명] 시는 오늘 [장소]에서 도시 전체 헌혈 운동을 후원합니다. 편의를 위해 [기업명]에서 [시간1]부터 [시간2]까지 [장소]까지 왕복 교통편을 제공합니다. 교통편은 [장소1]에서 30분 간격으로 출발합니다.

감사합니다.
[발신자]
"
"Wow!
Enron employees and other Houstonians are showing such generosity!
The response to the blood drive has been outstanding.
Employees from Continental Airlines and other surrounding corporations have come to our blood donation site to give.
Blood Center personnel have informed us that because of the overwhelming response donations are now being taken on a first-come, first-served basis.
The Blood Center is attempting to keep appointments on schedule.
However, we ask for your patience and understanding if there is a delay.
It is indeed gratifying to witness your continued generosity to the community and beyond.
",Blood Drive Update,"안녕하세요 [수신자],

와! [기업명] 직원과 다른 [지역명] 사람들이 이렇게 관대한 마음을 보이고 있네요! 헌혈 운동에 대한 반응이 엄청났습니다. 혈액 센터 직원들은 엄청난 반응으로 인해 기부는 선착순으로 받고 있다고 알려주었습니다. 혈액 센터는 예약 일정을 맞추려고 노력하고 있습니다.

그러나 지연이 있을 경우 인내심과 이해 부탁드립니다. 지역사회와 그 너머에 대한 여러분의 지속적인 관대한 마음을 목격하게 되어 정말 기쁩니다.

감사합니다.
[발신자]
"
"Due to the problems we always seem to have regarding non-EOL transacted gas deals, the following procedure should be followed from today forward:  Please send, via e-mail, the terms of gas deals that are transacted with another power trader or transacted with a gas trader over the phone.
We will then ensure that it gets captured in the gas valuation system.
Please forward this to your direct reports.
Thanks,
",Non-EOL gas transactions.,"안녕하세요 [수신자],

EOL이 아닌 거래 가스 거래와 관련하여 항상 발생하는 문제로 인해 오늘부터 다음 절차를 따라야 합니다. 다른 전력 거래업체와 거래되거나 가스 거래업체와 전화로 거래된 가스 거래 조건을 이메일로 보내주세요. 그러면 가스 평가 시스템에 반영되도록 하겠습니다.

이를 직속 보고자에게 전달해 주세요.

감사합니다.
[발신자]
"
"Thank you all for being so responsive.
I'm still waiting for claims on: Ameren AIG CLECO Colonial ConAgra Dominion Enterprise Chase Noble Cornerstone Occidental Carolina Power and Light Southern Co. Western Gas Resources  Anyone?
Please let me know by noon today.
Thanks again for your help.
",Counterparties,"안녕하세요 [수신자],

모두들 매우 신속하게 대응해 주셔서 감사합니다. 저는 아직 다음에 대한 청구를 기다리고 있습니다: [직접 입력]. 오늘 [시간]까지 알려주세요.

도와주셔서 다시 한번 감사드립니다.
[발신자]
"
"Everyone,  As we stated earlier, this particular virus that is on the internet is causing a lot of issues for Corporations.
As a result, the companies who write anti-virus software are continuously updating their software.
As of this morning, another update has been made available to us.
This update does a better job of protecting your PC than the update we received last night.
At this time, it is extremely important that you again go through one of the procedures listed below to get the latest update.
1.
Logout of the network and log back in or  2.
Click on START>PROGRAMS>ACCESSORIES>Norton AntiVirus Corporate Edition and then click the Live Update button.
This will pop up a screen where you will have to click the ""Next"" button and then a ""Finish"" button.
- If you are an EES user, this option is not available to you.
Please use option 1.
The proper version of the update pattern you need is:   (9/18/2001, version 30918BL) - You may need to restart the Norton Anti-Virus client if you want to visually insure that you have the latest update.
If you have questions or concerns, please direct them to your Resolution Center.
Enron Global Technology
",Update to Virus Protection Software #2,"안녕하세요 [수신자],

모두, 앞서 말했듯이 인터넷에 있는 이 특정 바이러스는 [기업명]에 많은 문제를 일으키고 있습니다. 결과적으로 바이러스 백신 소프트웨어를 작성하는 회사는 소프트웨어를 지속적으로 업데이트하고 있습니다. 오늘 아침, 또 다른 업데이트가 제공되었습니다. 이 업데이트는 어젯밤에 받은 업데이트보다 PC를 보호하는 데 더 효과적입니다.

지금은 최신 업데이트를 받으려면 아래에 나열된 절차 중 하나를 다시 수행하는 것이 매우 중요합니다.

네트워크에서 로그아웃하고 다시 로그인하거나

시작 > 프로그램 > 액세서리 > [백신명]을 클릭한 다음 Live Update 버튼을 클릭합니다.
그럼 다음 ""버튼""을 클릭한 다음 ""마침"" 버튼을 클릭해야 하는 화면이 나타납니다.

감사합니다.
[발신자]"
"As we near the end of the year, I want to make clear some individual VAR limits I have come up with as we go forward.
These will change from time to time as to allocate VAR to desks that are profitable and re-adjust VAR when desks are not profitable.
Please read carefully.
If you have any questions feel free to see me.
There will be penalties for not staying within your VAR limits.
I will be reasonable but fines will be assessed for repeated breakage.
Rob Benson - 7 MM  Paul Broderick - 1.2 MM Gautum Gupta - 1.5 MM Joe Quenet - 300K Ben Rogers - 300K Garrett Tripp - 300K
",VAR Limits,"안녕하세요 [수신자],

연말이 다가오면서, 앞으로 나아가면서 제가 생각해 낸 개별 VAR 한도를 명확히 하고 싶습니다. 이것은 수익성이 있는 데스크에 VAR을 할당하고 수익성이 없는 데스크에서는 VAR을 재조정하기 위해 수시로 변경될 것입니다.

주의 깊게 읽어주세요. 궁금한 사항이 있으면 언제든지 저를 만나주세요. VAR 한도를 준수하지 않으면 페널티가 부과됩니다. 저는 합리적으로 행동할 것이지만, 반복적인 위반에는 벌금이 부과됩니다.

감사합니다.
[발신자]"
"All,  As you have some visa condition associated to your employment with UBS, we will shortly be forwarding to you an assignment letter that allows you to provide services to UBS whilst still an employee of Enron.
This assignment letter will only be applicable until your visa is approved by the INS.
Therefore, if any of you will be out of the office this week/early next week, can you please let me know.
Kind regards,
",Transfer to UBS,"안녕하세요 [수신자],

모두, [기업명]에서의 고용과 관련된 비자 조건이 있으므로, 우리는 곧 [기업명1]의 직원으로 있는 동안 [기업명]에 서비스를 제공할 수 있는 배정서를 전달해 드리겠습니다. 이 배정서는 INS에서 비자를 승인할 때까지만 적용됩니다.

따라서 이번 주/다음 주 초에 여러분 중 누구라도 사무실을 비울 경우 알려주시기 바랍니다.

감사합니다.
[발신자]
"
